"year","country","sex","ple","pop"
1992,"PL","Men",66.45,18593992.33
1993,"PL","Women",75.83,19651202.51
1993,"PL","Men",67.12,18618014.08
1994,"PL","Women",76.08,19685740.98
1994,"PL","Men",67.43,18636172.69
1995,"PL","Women",76.39,19718067.47
1995,"PL","Men",67.56,18650175.79
1996,"PL","Women",76.56,19724243.27
1996,"PL","Men",68,18638468.13
1997,"PL","Women",76.95,19728490.61
1997,"PL","Men",68.3,18628740.27
1998,"PL","Women",77.29,19728889.91
1998,"PL","Men",68.66,18612092.21
1999,"PL","Women",77.43,19724127.68
1999,"PL","Men",68.63,18589366.24
2000,"PL","Women",77.93,19720848.07
2000,"PL","Men",69.53,18560082.28
2001,"PL","Women",78.36,19714005.11
2001,"PL","Men",70.05,18534892.28
2002,"PL","Women",78.77,19848286.36
2002,"PL","Men",70.37,18741102.53
2003,"PL","Women",78.89,19842293.88
2003,"PL","Men",70.57,18722316.13
2004,"PL","Women",79.23,19831175.24
2004,"PL","Men",70.71,18699842
2005,"PL","Women",79.34,19826662.21
2005,"PL","Men",70.85,18681338.7
2006,"PL","Women",79.58,19823485.3
2006,"PL","Men",71,18663771.15
2007,"PL","Women",79.67,19815569.13
2007,"PL","Men",71.03,18634149.13
2008,"PL","Women",79.86,19817843.04
2008,"PL","Men",71.32,18617035.5
2009,"PL","Women",79.96,19831731.09
2009,"PL","Men",71.6,18618762.95
2010,"PL","Women",80.46,19857622.09
2010,"PL","Men",72.15,18639509.95
2011,"PL","Women",80.75,19876527.08
2011,"PL","Men",72.51,18653073.95
2012,"PL","Women",80.77,19883710.08
2012,"PL","Men",72.62,18654537.95
2013,"PL","Women",80.92,19883836.08
2013,"PL","Men",72.98,18649307.95
2014,"PL","Women",81.4,19866039.08
2014,"PL","Men",73.66,18629518.96
2015,"PL","Women",81.31,19858748.08
2015,"PL","Men",73.47,18619806.96
2016,"PL","Women",81.72,19839233.08
2016,"PL","Men",73.83,18597998.96
2017,"PL","Women",81.55,19839811.09
2017,"PL","Men",73.85,18593170.95
2018,"PL","Women",81.49,19840379.09
2018,"PL","Men",73.75,18593180.95
1990,"PT","Women",77.8,5191611.28
1990,"PT","Men",70.77,4825567.05
1991,"PT","Women",77.9,5182436.95
1991,"PT","Men",70.58,4815169.92
1992,"PT","Women",78.59,5172824.22
1992,"PT","Men",71.14,4802483.13
1993,"PT","Women",78.41,5178099.32
1993,"PT","Men",71.11,4804182.92
1994,"PT","Women",79.25,5188929.79
1994,"PT","Men",72.15,4813111.78
1995,"PT","Women",79.22,5204637.42
1995,"PT","Men",71.86,4829639.35
1996,"PT","Women",79.23,5220798.8
1996,"PT","Men",71.73,4847516.96
1997,"PT","Women",79.52,5239469.48
1997,"PT","Men",72.29,4867572.79
1998,"PT","Women",79.75,5262483.64
1998,"PT","Men",72.47,4891595.48
1999,"PT","Women",79.89,5287135.38
1999,"PT","Men",72.73,4917546.46
2000,"PT","Women",80.34,5314456.96
2000,"PT","Men",73.27,4947354.62
2001,"PT","Women",80.67,5351063.04
2001,"PT","Men",73.58,4987756.59
2002,"PT","Women",80.81,5382993.16
2002,"PT","Men",73.87,5020644.71
2003,"PT","Women",80.84,5416637.37
2003,"PT","Men",74.22,5039417.68
2004,"PT","Women",81.77,5436877.82
2004,"PT","Men",74.94,5050281.58
2005,"PT","Women",81.6,5453484.18
2005,"PT","Men",74.88,5057191.57
2006,"PT","Women",82.51,5465846.2
2006,"PT","Men",75.48,5062672.35
2007,"PT","Women",82.48,5480428.58
2007,"PT","Men",75.9,5068671.25
2008,"PT","Women",82.67,5494251.72
2008,"PT","Men",76.23,5073861.67
2009,"PT","Women",82.8,5505643.61
2009,"PT","Men",76.49,5070030.21
2010,"PT","Women",83.07,5518265
2010,"PT","Men",76.75,5067380.02
2011,"PT","Women",83.54,5520652.42
2011,"PT","Men",77.2,5054454.83
2012,"PT","Women",83.41,5513423.18
2012,"PT","Men",77.27,5031324.03
2013,"PT","Women",83.81,5493053.18
2013,"PT","Men",77.53,4996585.54
2014,"PT","Women",84.17,5470748.25
2014,"PT","Men",77.94,4958915.49
2015,"PT","Women",84.07,5452654.82
2015,"PT","Men",78.04,4924564.91
2016,"PT","Women",84.11,5441293.98
2016,"PT","Men",78.04,4902416.17
2017,"PT","Women",84.32,5428570.43
2017,"PT","Men",78.35,4883360.59
2018,"PT","Women",84.26,5424771.39
2018,"PT","Men",78.25,4868598.32
1990,"SK","Women",75.38,2687252.57
1990,"SK","Men",66.52,2567050.02
1991,"SK","Women",75.26,2696901.35
1991,"SK","Men",66.78,2572184.09
1992,"SK","Women",75.86,2710248.02
1992,"SK","Men",67.06,2581930.51
1993,"SK","Women",76.14,2722346.35
1993,"SK","Men",67.74,2590106.59
1994,"SK","Women",76.47,2733598.82
1994,"SK","Men",68.25,2598559.26
1995,"SK","Women",76.29,2742166.03
1995,"SK","Men",68.26,2604236.89
1996,"SK","Women",76.79,2747483.02
1996,"SK","Men",68.71,2607077.96
1997,"SK","Women",76.67,2752812.9
1997,"SK","Men",68.72,2610212.29
1998,"SK","Women",76.74,2757235.4
1998,"SK","Men",68.46,2612432.36
1999,"SK","Women",77.1,2760670.22
1999,"SK","Men",68.85,2612876.85
2000,"SK","Women",77.3,2763825.07
2000,"SK","Men",69,2612977.98
2001,"SK","Women",77.66,2765664.67
2001,"SK","Men",69.47,2612090.69
2002,"SK","Women",77.69,2764785.78
2002,"SK","Men",69.79,2611741.46
2003,"SK","Women",77.8,2764257.67
2003,"SK","Men",69.81,2611306.08
2004,"SK","Women",78.03,2763962.23
2004,"SK","Men",70.33,2611313.33
2005,"SK","Women",78.09,2764299.7
2005,"SK","Men",70.19,2612802.06
2006,"SK","Women",78.39,2764357.01
2006,"SK","Men",70.42,2613892.72
2007,"SK","Women",78.36,2764590.8
2007,"SK","Men",70.6,2614937.2
2008,"SK","Women",78.87,2764818.4
2008,"SK","Men",70.84,2616220.52
2009,"SK","Women",78.96,2766385.46
2009,"SK","Men",71.39,2618790.61
2010,"SK","Women",79.16,2769171.85
2010,"SK","Men",71.74,2624041.49
2011,"SK","Women",79.66,2771305.5
2011,"SK","Men",72.26,2627600.48
2012,"SK","Women",79.75,2773578.09
2012,"SK","Men",72.49,2632224.08
2013,"SK","Women",79.98,2775763.09
2013,"SK","Men",72.91,2636390.08
2014,"SK","Women",80.32,2777485.1
2014,"SK","Men",73.25,2639311.08
2015,"SK","Women",80.11,2779460.08
2015,"SK","Men",73.09,2642503.08
2016,"SK","Women",80.55,2780440.09
2016,"SK","Men",73.75,2646198.08
2017,"SK","Women",80.57,2783792.09
2017,"SK","Men",73.76,2651734.08
1990,"SI","Women",77.69,1027788.1
1990,"SI","Men",69.76,968037.03
1991,"SI","Women",77.38,1029615.26
1991,"SI","Men",69.43,970159.24
1992,"SI","Women",77.47,1028807.09
1992,"SI","Men",69.56,969953
1993,"SI","Women",77.55,1026919.53
1993,"SI","Men",69.33,967070.63
1994,"SI","Women",77.7,1024932.11
1994,"SI","Men",70.01,964404.7
1995,"SI","Women",78.32,1025004.96
1995,"SI","Men",70.72,964296.67
1996,"SI","Women",78.85,1022031.85
1996,"SI","Men",71.07,968003.68
1997,"SI","Women",78.99,1018293.58
1997,"SI","Men",71.07,968597.62
1998,"SI","Women",79.05,1016728.43
1998,"SI","Men",71.22,968151.98
1999,"SI","Women",79.27,1015118.76
1999,"SI","Men",71.73,963220.13
2000,"SI","Women",79.75,1016838.9
2000,"SI","Men",72.17,970768.02
2001,"SI","Women",80.27,1017391.65
2001,"SI","Men",72.24,972715.54
2002,"SI","Women",80.46,1019125.01
2002,"SI","Men",72.56,974928.27
2003,"SI","Women",80.33,1019444.25
2003,"SI","Men",72.51,975476.54
2004,"SI","Women",80.73,1019620.45
2004,"SI","Men",73.47,976641.86
2005,"SI","Women",80.89,1020599.73
2005,"SI","Men",73.96,976931.12
2006,"SI","Women",81.79,1021900.83
2006,"SI","Men",74.38,981372.24
2007,"SI","Women",81.78,1023361.97
2007,"SI","Men",74.61,986900
2008,"SI","Women",82.24,1025013.02
2008,"SI","Men",75.42,1000524.94
2009,"SI","Women",82.28,1028226.02
2009,"SI","Men",75.75,1003826.94
2010,"SI","Women",82.62,1032689.02
2010,"SI","Men",76.27,1013993.94
2011,"SI","Women",82.86,1035466.01
2011,"SI","Men",76.64,1014470.94
2012,"SI","Women",82.9,1038617.03
2012,"SI","Men",76.97,1016657.94
2013,"SI","Women",83.17,1039689.01
2013,"SI","Men",77,1019009.96
2014,"SI","Women",83.66,1040152.01
2014,"SI","Men",77.95,1020834.96
2015,"SI","Women",83.5,1040603.02
2015,"SI","Men",77.59,1022209.94
2016,"SI","Women",83.86,1040835.02
2016,"SI","Men",77.94,1023320.93
2017,"SI","Women",83.68,1040768.01
2017,"SI","Men",78.08,1025116.94
1990,"ES","Women",80.56,19832961.15
1990,"ES","Men",73.43,19041721.62
1991,"ES","Women",80.75,19861111.02
1991,"ES","Men",73.51,19044969.44
1992,"ES","Women",81.26,19953972.44
1992,"ES","Men",73.91,19135037.74
1993,"ES","Women",81.34,20068687.99
1993,"ES","Men",74.11,19247774.76
1994,"ES","Women",81.72,20172926.73
1994,"ES","Men",74.5,19352753.8
1995,"ES","Women",81.84,20272191.49
1995,"ES","Men",74.56,19450704.93
1996,"ES","Women",82,20365708.56
1996,"ES","Men",74.69,19541763.06
1997,"ES","Women",82.35,20457217.44
1997,"ES","Men",75.33,19629764.4
1998,"ES","Women",82.42,20552010.83
1998,"ES","Men",75.45,19723105.73
1999,"ES","Women",82.44,20640673.58
1999,"ES","Men",75.46,19811542.59
2000,"ES","Women",82.85,20733070.8
2000,"ES","Men",75.97,19902407.84
2001,"ES","Women",83.17,20840986.13
2001,"ES","Men",76.29,20010887.19
2002,"ES","Women",83.24,20960237.34
2002,"ES","Men",76.4,20125905.35
2003,"ES","Women",83.07,21322970.64
2003,"ES","Men",76.43,20552078.28
2004,"ES","Women",83.66,21659213.24
2004,"ES","Men",76.99,20933806.24
2005,"ES","Women",83.62,21992987.73
2005,"ES","Men",77.03,21342942.33
2006,"ES","Women",84.21,22318179.44
2006,"ES","Men",77.7,21726592.89
2007,"ES","Women",84.17,22686435.14
2007,"ES","Men",77.77,22123726.08
2008,"ES","Women",84.35,23094063.02
2008,"ES","Men",78.2,22595650.14
2009,"ES","Women",84.65,23367918.98
2009,"ES","Men",78.59,22881974.02
2010,"ES","Women",85,23507902.98
2010,"ES","Men",79,22981492.02
2011,"ES","Women",85.09,23615896.98
2011,"ES","Men",79.25,23046731.02
2012,"ES","Women",85.06,23712806.98
2012,"ES","Men",79.32,23094417.02
2013,"ES","Women",85.49,23703662.98
2013,"ES","Men",79.88,23013239.02
2014,"ES","Women",85.59,23628533.98
2014,"ES","Men",80.07,22873273.02
2015,"ES","Women",85.36,23616630.98
2015,"ES","Men",79.88,22822387.02
2016,"ES","Women",85.78,23629657.98
2016,"ES","Men",80.25,22805149.02
2017,"ES","Women",85.68,23690181.98
2017,"ES","Men",80.33,22832248.02
2018,"ES","Women",85.81,23775500.99
2018,"ES","Men",80.43,22881016.02
1990,"SE","Women",80.4,4314868.75
1990,"SE","Men",74.81,4212032.59
1991,"SE","Women",80.54,4346451.12
1991,"SE","Men",74.95,4243939.79
1992,"SE","Women",80.78,4373257.67
1992,"SE","Men",75.36,4270496.73
1993,"SE","Women",80.78,4397145.7
1993,"SE","Men",75.49,4294478.69
1994,"SE","Women",81.38,4423821.36
1994,"SE","Men",76.08,4320810.41
1995,"SE","Women",81.44,4459672.98
1995,"SE","Men",76.18,4356033
1996,"SE","Women",81.52,4470825.98
1996,"SE","Men",76.52,4365794
1997,"SE","Women",81.8,4474048.98
1997,"SE","Men",76.7,4369416
1998,"SE","Women",81.91,4474967.98
1998,"SE","Men",76.87,4371645
1999,"SE","Women",81.89,4478009.98
1999,"SE","Men",77.07,4375436
2000,"SE","Women",82.02,4480660.98
2000,"SE","Men",77.38,4379993
2001,"SE","Women",82.05,4489344.98
2001,"SE","Men",77.54,4392642
2002,"SE","Women",82.08,4499964.98
2002,"SE","Men",77.71,4408314
2003,"SE","Women",82.41,4512961.98
2003,"SE","Men",77.91,4426968
2004,"SE","Women",82.66,4528300.98
2004,"SE","Men",78.35,4446527
2005,"SE","Women",82.75,4544392.98
2005,"SE","Men",78.42,4466206
2006,"SE","Women",82.9,4560525.98
2006,"SE","Men",78.69,4486465
2007,"SE","Women",82.94,4589054.98
2007,"SE","Men",78.93,4523425
2008,"SE","Women",83.12,4618474.98
2008,"SE","Men",79.09,4563860
2009,"SE","Women",83.33,4652124.98
2009,"SE","Men",79.34,4603668
2010,"SE","Women",83.47,4691132.98
2010,"SE","Men",79.52,4648963
2011,"SE","Women",83.67,4724886.98
2011,"SE","Men",79.8,4690199
2012,"SE","Women",83.53,4755632.98
2012,"SE","Men",79.87,4726783
2013,"SE","Women",83.72,4789662.98
2013,"SE","Men",80.1,4765851.01
2014,"SE","Women",84.05,4830286.99
2014,"SE","Men",80.36,4814307
2015,"SE","Women",84.02,4874947.98
2015,"SE","Men",80.32,4872196
2016,"SE","Women",84.08,4919938
2016,"SE","Men",80.57,4930925
2017,"SE","Women",84.12,4981717.99
2017,"SE","Men",80.73,5013315
2018,"SE","Women",84.26,5037496
2018,"SE","Men",80.79,5082644
2019,"SE","Women",84.73,5087690.99
2019,"SE","Men",81.35,5142433
1990,"UK","Women",78.5,29372707.09
1990,"UK","Men",72.84,27763245.21
1991,"UK","Women",78.61,29470536.78
1991,"UK","Men",73.08,27857435.4
1992,"UK","Women",78.96,29563250.5
1992,"UK","Men",73.51,27936237.1
1993,"UK","Women",78.77,29635672.27
1993,"UK","Men",73.44,28000077.11
1994,"UK","Women",79.31,29702760.32
1994,"UK","Men",73.99,28061876.82
1995,"UK","Women",79.19,29783613.65
1995,"UK","Men",73.93,28148053.2
1996,"UK","Women",79.41,29840313.3
1996,"UK","Men",74.22,28234362.33
1997,"UK","Women",79.58,29908208.53
1997,"UK","Men",74.57,28320433.79
1998,"UK","Women",79.72,29972896.42
1998,"UK","Men",74.72,28402453.35
1999,"UK","Women",79.76,30049181.8
1999,"UK","Men",74.87,28502067.32
2000,"UK","Women",80.2,30119700.78
2000,"UK","Men",75.38,28605409.07
2001,"UK","Women",80.42,30223528.13
2001,"UK","Men",75.69,28739678.19
2002,"UK","Women",80.52,30319111.26
2002,"UK","Men",75.85,28879234.77
2003,"UK","Women",80.49,30431833.97
2003,"UK","Men",76.06,29025245.75
2004,"UK","Women",81.06,30560573.58
2004,"UK","Men",76.63,29187506.06
2005,"UK","Women",81.2,30748165.03
2005,"UK","Men",76.9,29400015.64
2006,"UK","Women",81.48,30955448.31
2006,"UK","Men",77.11,29634927.91
2007,"UK","Women",81.62,31169734.92
2007,"UK","Men",77.35,29882666.82
2008,"UK","Women",81.68,31398212.31
2008,"UK","Men",77.55,30153313.18
2009,"UK","Women",82.2,31618265.24
2009,"UK","Men",78.03,30409784.59
2010,"UK","Women",82.34,31839198.97
2010,"UK","Men",78.36,30665623.66
2011,"UK","Women",82.73,32069354.09
2011,"UK","Men",78.78,30950117.63
2012,"UK","Women",82.67,32292149.2
2012,"UK","Men",78.96,31207797.76
2013,"UK","Women",82.78,32484754.66
2013,"UK","Men",79.01,31426048.56
2014,"UK","Women",83,32687464.87
2014,"UK","Men",79.25,31663527.37
2015,"UK","Women",82.73,32922682.97
2015,"UK","Men",79.06,31935520.53
2016,"UK","Women",82.88,33153319.73
2016,"UK","Men",79.22,32226177.53
2017,"UK","Women",82.99,33365279.9
2017,"UK","Men",79.3,32479893.45
2018,"UK","Women",82.95,33554294.45
2018,"UK","Men",79.27,32686805.31
